
Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
11 Na 25   0     59.1 s    5/2+   +3.683(4)       OP/RD         1975De11            ZP A273 15 (75)

11 Na 26   0     1.07 s    3+     +2.851(2)       ABLS          1978Hu12            PR C18 2342 (78)

11 Na 27   0     0.30 s    5/2+   +3.895(5)       ABLS          1978Hu12            PR C18 2342 (78)

11 Na 28   0     30.5 ms   1+     +2.426(3)       ABLS          1978Hu12            PR C18 2342 (78)

11 Na 29   0     44 ms     3/2+   +2.449(8)       ABLS          1978Hu12            PR C18 2342 (78)

11 Na 30   0     53 ms     2+     +2.083(10)      ABLS          1978Hu12            PR C18 2342 (78)

"11 Na 31   0     17.3 ms   3/2+   +2.305(8)       ABLS,R        1978Hu12            PR C18 2342 (78)"

12 Mg 21   0     122 ms    5/2+   -0.983(7)       CFBLS/b-NMR   2009Kr05            PL B 678 465 (09)

12 Mg 23   0     11.3 s    3/2+   -0.5363(3)      CLS           2017Yo05            JP G44 075104 (2017)

12 Mg 25   0     stable    5/2+   -0.85533(3)     NMR           2013An23            CPL 588 57 (2013)

12 Mg 27   0     9.46 m    1/2+   -0.4106(15)     CLS           2008Ko05            PR C77 034307 (08)

12 Mg 29   0     1.30 s    3/2+   +0.9779(6)      b-NMR/LRS     2008Ko05            PR C77 034307 (08)




14
12 Mg 31   0     236 ms      1/2+     -0.88340(15)       b-NMR/LRS     2008Ko05    PR C77 034307 (08)

12 Mg 33   0     90.5 ms     3/2-     -0.7455(5)         b-NMR/LRS     2007Yo06    PRL 99 212501 (07)

13 Al 23   0     470 ms      5/2+     +3.89(2)           b-NMR         2006Oz04    PR C74 021301 (06)

13 Al 24   426   130 ms      1+       2.99(9)            b-NMR         2007NI14    HFI 180 71 (07)

13 Al 25   0     7.18 s      5/2+     3.6447(12)         b-NMR         1976Mi11    PR C14 376 (76)

13 Al 26   0     7x105 y     5+       +2.803(4)          ABLS          1996Co04    JP G22 99 (96)

13 Al 27   0     stable      5/2+     +3.64070(2)        NMR           2015An17    JCP 143 074301 (2015)

13 Al 28   0     2.24 m      3+       3.241(5)           b-NMR         1981Mi14    PL 106B 38 (81)

13 Al 30   0     3.62 s      3+       3.012(7)           b-NMR         2005Ue01    PL B615 186 (2005)

13 Al 31   0     644 ms      5/2(+)   +3.832(5)          b-NMR         2006Hi18    PL B643 257 (06)

13 Al 32   0     33 ms       1+       1.953(2)           b-NMR         2006Hi18    PL B643 257 (06)

13 Al 33   0     41.7 ms     (5/2)+   +4.090(5)          b-NMR         2006Hi18    PL B643 257 (06)

13 Al 34   0     56 ms       (4-)     (+)2.157(16)       b-NMR         2008Hi01    PL B658 203 (08)

14 Si 27   0     4.15 s      5/2+     (-)0.8652(3)       b-NMR         1999MaZK    ARO 54 (98)

14 Si 29   0     stable      1/2+     -0.555052(3)       NMR           2006Ma97    JPhysChem A110 11462 (2006)

14 Si 33   0     6.1 s       3/2+     1.21(3)             OP/RD        92Ma52      HFI 74 223 (1992)

14 Si 35   0     0.78 s      (7/2)-   (-)1.639(4)       b-NMR         2007Ne14    Eur Phys J (Sp Topics) 150 149 (07)

15 P 28    0     270 ms      3+       0.312(3)           b-NMR         2010 MaZJ   7th China-Japan NP Symp 260 (10)

15 P 29    0     4.14 s      1/2+     1.2344(3)          b-NMR         2009Zh53    Chin Phys C33 Supp 1 218 (09)

15 P 31    0     stable      1/2+     +1.130925(5)       NMR           2011La24    JPhysChem A115 10617 (2011)

15 P 32    0     14.28 d     1+       -0.2528(2)         ENDOR         1957Fe32    PR 107 1462 (57)

16 S 31    0     2.6 s       1/2+     0.48793(8)         b-NMR         1976Mi16    PR C14 2335 (76)

16 S 33    0     stable      3/2+     +0.64325(2)        NMR           2005An15    CPL 411 111 (2005)

16 S 35    0     87.4 d      3/2+     +1.00(4)-1.07(4) MA          1954Bu05    PR 93 193 (54)

17 Cl 32   0     298 ms      1+       +1.115(6)          b-NMR         2000Ro30    PR C62 044312 (00)

17 Cl 33   0     2.51 s      3/2+     +0.7547(3)        b-NMR         2004Ma98    NP A746 493c (04)

17 Cl 35   0     stable      3/2+     +0.82170(2)        NMR           2013Ja17    JCP 139 234402 (2013)

17 Cl 36   0     3.0x105 y   2+       +1.2849(3)         N             1955So10    PR 98 1316 (55)

17 Cl 37   0     stable      3/2+     +0.68400(1)        NMR           2013Ja17    JCP 139 234402 (2013)

17 Cl 38   0     37.3 m      2-       2.05(2)            b-NMR         1972La22    ZP 252 242 (72)

17 Cl 44   0     0.56 s      (2-)     (-)0.5498(4)       b-NMR         2010De11    PR C81 034308 (10)

18 Ar 33   0     0.173 s     1/2+     -0.723(6)          CFBLS/b-NMR   1996Kl04    NP A607 1 (96)

18 Ar 35   0     1.78 s       3/2+     +0.6320(2)         b-NMR         2002Ma41    NP A701 383c (02)

"18 Ar 37   0     35.0 d      3/2+     +1.146(5)          N,OP/RD       1988PiZY    BAPS 33 1564 (88)"

18 Ar 39   0     269 y       7/2-     -1.590(15)         CFBLS/b-NMR   1996Kl04    NP A607 1 (96)




15
18 Ar 41   0     1.82 h       7/2-     -1.310(8)       CFBLS        2008Bl01            NP A799 30 (2008)

18 Ar 43   0     5.37 m       5/2(-)   -1.022(6)       CFBLS        2008Bl01            NP A799 30 (2008)

19 K 35    0     178 ms       (3/2)+   0.392(7)        b-NMR        2006Me04            PR C73 024318 (06)

19 K 36    0     0.34 s       2+       (+)0.548(1)     OP/RD        1975Sc20            NP A246 187 (75)

19 K 37    0     1.23 s       3/2+     +0.20321(6)     OP/RD        1971Vo03            ZP A244 44 (71)

19 K 38    0     7.64 m       3+       +1.371(6)       AB           1982To02            PL 108B 169 (82)

19 K 39    0     stable       3/2+     +0.391470(8)    NMR          2012An18            CPL 532 1 (2012)

19 K 40    0     1.25x109 y   4-       -1.29797(3)     N            1974Sa24            ZNat 29a 1754 (74)

19 K 41    0     stable       3/2+     +0.214872(5)    NMR          2012An18            CPL 532 1 (2012)

19 K 42    0     12.36 h      2-       -1.1425(6)      AB           1969Ch20/1973CoZG   PR 184 1102 (69)/BAPS 18 727 (73)

19 K 43    0     22.3 h       3/2+     +0.1633(8)      ABLS         1982To02/1982Du06   PL 108B 169 (82)/JPPa 43 509 (82)

19 K 44    0     22.1 m       2-       -0.856(4)       ABLS         1982To02/1982Du06   PL 108B 169 (82)/JPPa 43 509 (82)

19 K 45    0     17.8 m       3/2+     +0.1734(8)      AB           1982To02            PL 108B 169 (82)

19 K 46    0     115 s        2-       -1.051(6)       ABLS         1982To02            PL 108B 169 (82)

19 K 47    0     17.5 s       1/2+     +1.933(9)       ABLS         1982To02            PL 108B 169 (82)

19 K 49    0     1.26 s       1/2+     +1.3386(8)      CLS          2013Pa11            PRL 110 172503 (2013)

19 K 51    0     365 ms       (3/2+)   +0.513(2)       CLS          2013Pa11            PRL 110 172503 (2013)

20 Ca 39   0     0.86 s       3/2+     1.02140(16)     b-NMR        1976Mi05            PL 61B 155 (76)

20 Ca 41   0     1.0x105 y    7/2-     -1.59443(7)     N            1962Br30            PRL 9 166 (62)

20 Ca 43   0     stable       7/2-     -1.31733(6)     NMR          2013An23            CPL 588 57 (2013)

20 Ca 45   0     162.6 d      7/2-     -1.3264(13)     CLS          2015Ru02            PR C91 041304(R)(2015)

20 Ca 47   0     4.54 d       7/2-     -1.4064(11)     CLS          2015Ru02            PR C91 041304(R)(2015)

20 Ca 49   0     8.72 m       3/2-     -1.3799(8)      CLS          2015Ru02            PR C91 041304(R)(2015)

20 Ca 51   0     10.0 s       3/2-     -1.0496(11)     CLS          2015Ru02            PR C91 041304(R)(2015)

21 Sc 41   0     0.60 s       7/2-     +5.4283(14)     b-NMR        1990Mi16            NP A516 365 (90)

21 Sc 43   0     3.89 h       7/2-     +4.526(10)      CLS          2011Av01            J.Phys.G 38 025104 (2011)

21 Sc 44   0     3.97 h       2+       +2.498(5)       CLS          2011Av01            J.Phys.G 38 025104 (2011)
21 Sc 44  271   58.6 h       6+       +3.831(12)      CLS          2011Av01            J.Phys.G 38 025104 (2011)

21 Sc 45   0     stable       7/2-     +4.75400(8)    NMR          2016An22            CPL 660 127 (2016)

21 Sc 46   0     83.79 d      4+       +3.040(8)       CLS          2011Av01            J.Phys.G 38 025104 (2011)

21 Sc 47   0     3.35 d       7/2-     +5.34(2)        AB           1966Co13            PR 141 1106 (66)

21 Sc 48   0     43.7 h       6+       3.737(12)       NMR/ON       2007Oh10            HI 180 79 (07)

21 Sc 49   0     57.2 m       7/2-     (+)5.61(3)      NMR/ON       2012Oh01            PRL 109 032504 (12)

22 Ti 43   0     0.509 s      7/2-     0.85(2)         b-NMR        1993Ma67            HFI 78 123 (93)

22 Ti 45   0     184.8 m      7/2-     0.095(2)        AB           1966Co19            PR 148 1157 (66)

22 Ti 47   0     stable       5/2-     -0.78814(11)   N            1965Dr03            PhMg 12 1061 (65)




16
22 Ti 49   0     stable        7/2-   -1.10370(14)   N           1965Dr03/1953Je16   PhMg 12 1061 (65)/PR 92 1262 (53)

23 V 48    0     15.97 d       4+     2.012(11)      NMR/ON      1980Bu11            HFI 8 59 (80)

23 V 49    0     330 d         7/2-   4.47(5)         EPR         1957We17            BAPS 2 31 (57)

23 V 50    0     1.4x10*17 y   6+     +3.3442(4)      N           1981Ha26            ZP A300 111 (81)

23 V 51    0     stable        7/2-   +5.1464(7)      N           1981Ha26/1951Pr02   ZP A300 111 (81)/PR 81 20 (51)

24 Cr 49   0     41.9 m        5/2-   0.476(3)        AB          1970Jo27            PS 2 16 (70)

24 Cr 51   0     27.7 d        7/2-   (-)0.934(5)     AB          1970Ad07            ArkF 40 457 (70)

24 Cr 53   0     stable        3/2-   -0.47431(7)     N           1953Al06            HPAc 26 426 (53)

25 Mn 50   225   1.75 m        5+     +2.76(1)        TLS         2010Ch15            PL B690 346 (10)

25 Mn 51   0     46.2 m        5/2-   +3.575(4)       CLS         2015Ba49            PL B750 176 (2015)

25 Mn 52   0     5.80 d        6+     +3.0622(12)     AB          1966Ad03            ArkF 31 549 (66)
25 Mn 52   378   21.1 m        2+     0.00766(8)      AB          1971Jo10            NP A166 306 (71)

25 Mn 53   0     3.7x106 y     7/2-   +5.033(5)       CLS         2016Ba44            PL B760 387 (2016)

25 Mn 54   0     312 d         3+     3.297(3)        CLS         2015He28            PR C92 044311(2015)

25 Mn 55   0     stable        5/2-   +3.4669(6)      N           1974Lu08            ZNat 29a 1467 (74)

25 Mn 56   0     2.58 h        3+     +3.240(2)       CLS         2015He28            PR C92 044311(2015)

25 Mn 57   0     85.4 s        5/2-   +3.481(2)       CLS         2016Ba44            PL B760 387 (2016)

25 Mn 58   0     3.0 s         1+     +2.623(2)       CLS         2015He28            PR C92 044311(2015)
25 Mn 58   72    65.4 s        4+     +3.062(2)       CLS         2015He28            PR C92 044311(2015)

25 Mn 59   0     4.6 s         5/2-   +3.494(3)       CLS         2016Ba44            PL B760 387 (2016)

25 Mn 60   0     0.28 s        1+     +2.488(7)       CLS         2015He28            PR C92 044311(2015)
25 Mn 60   272   1.77 s        4+     +3.400(2)       CLS         2015He28            PR C92 044311(2015)

25 Mn 61   0     0.71 s        5/2-   +3.533(2)       CLS         2016Ba44            PL B760 387 (2016)

25 Mn 62   0     92 ms         1+     +2.384(7)       CLS         2015He28            PR C92 044311(2015)
25 Mn 62   0+x   671 ms        4+     +3.170(3)       CLS         2015He28            PR C92 044311(2015)

25 Mn 63   0     0.28 s        5/2-   +3.439(3)       CLS         2016Ba44            PL B760 387 (2016)

25 Mn 64   0     90 ms         1+     +2.085(3)       CLS         2015He28            PR C92 044311(2015)

26 Fe 53   0     8.52 m        7/2-   -0.65(1)        CLS         2017Mi19            PR C96 054314 (2017)

26 Fe 57   0     stable        1/2-   +0.09064(7)     N           1974Sa25            ZNat 29a 1763 (74)

26 Fe 59   0     44.5 d        3/2-   -0.3358(4)      NMR/ON(b)   1996Oh02            PR C54 554 (96)

27 Co 55   0     17.5 h        7/2-   +4.822(3)       NMR/ON      1973Ca06            NP A201 561 (73)/HFI 2 45 (76)

27 Co 56   0     77.2 d        4+     3.85(1)         NMR/ON      1977St36            JP C10 3651 (77)
27 Co 56   0     77.2 d        4+     3.99(6)         NMR/ON      1986Ro28            CzJP B36 1331 (86)

27 Co 57   0     272 d         7/2-   +4.720(10)      NMR/ON      1972Ni01            JP C10 3651 (77)/Phca 57 1 (72)
27 Co 57   0     272 d         7/2-     4.719(12)       NMR/ME      1974La19            ZP A270 233 (74)

27 Co 58   0     70.8 d        2+     +4.044(8)       NMR/ON      1972Ni01            Phca 57 1 (72)
27 Co 58   0     70.8 d        2+     +4.040(14)      EPR         1957Do38            PR 108 60 (57)

27 Co 59   0     stable        7/2-   +4.615(25)      N           1967Wa16/1951Pr02   PR 162 301 (67)/PR 81 20 (51)




17
27 Co 60   0     5.271 y   5+       +3.799(8)      NMR/ON       1972Ni01   Phca 57 1 (72)
27 Co 60   59    10.5 m    2+       +4.40(9)       AB           L          Cf69Mntr 91 (69)

28 Ni 55   0     205 ms    7/2-     (-)0.98(3)     b-NMR        2009Be22   PR C79 064305 (09)

28 Ni 57   0     35.6 h    3/2-     -0.7975(14)    NMR/ON(b)    1996Oh02   PR C54 554 (96)

28 Ni 61   0     stable    3/2-     -0.74965(5)    N            1964Dr02   PL 11 114 (64)

28 Ni 63   0     101 y     1/2-     +0.496(5)      LRS          2017Dy01   Eu Phys J A53 13

28 Ni 65   0     2.518 h   5/2-     0.69(6)        NO/S         1976Kr09   PR C14 650 (76)

28 Ni 67   0     21 s      (1/2)-   +0.601(5)      NMR/ON(b)    2000Ri14   PRL 85 1392 (00)

29 Cu 57   0     196 ms    3/2-     +2.582(7)      CLS          2010Co01   PR C81 014314 (10)

29 Cu 58   0     3.20 s    1+       +0.571(2)      CLS          2011Vi03   PL B703 34 (2011)

29 Cu 59   0     81.5 s    3/2-     +1.8931(9)     CLS          2011Vi03   PL B703 34 (2011)

29 Cu 60   0     23.7 m    2+       +1.2200(5)     CLS          2011Vi03   PL B703 34 (2011)

29 Cu 61   0     3.34 h    3/2-     +2.1107(5)     CLS          2011Vi03   PL B703 34 (2011)

29 Cu 62   0     9.67 m    1+       -0.3800(4)     CLS          2011Vi03   PL B703 34 (2011)

29 Cu 63   0     stable    3/2-     +2.2259(4)     N            1978Lu08   ZP A288 17 (78)

29 Cu 64   0     12.7 h    1+       -0.2166(4)     CLS          2010VI07   PR C82 064311 (10)

29 Cu 65   0     stable    3/2-     2.3844(4)     N            1978Lu08   ZP A288 17 (78)

29 Cu 66   0     5.1 m     1+       -0.2826(8)     CLS          2010VI07   PR C82 064311 (10)

29 Cu 67   0     61.8 h    3/2-     +2.5171(6)     CLS          2010VI07   PR C82 064311 (10)

29 Cu 68   0     30.9 s    1+       +2.3960(6)     CLS          2010VI07   PR C82 064311 (10)
29 Cu 68  721   3.75 m    6-       +1.1561(6)     CLS          2010VI07   PR C82 064311 (10)

29 Cu 69   0     2.85 m    3/2-     +2.8415(10)    CLS          2010VI07   PR C82 064311 (10)

29 Cu 70   0     44.5 s    6-       +1.3681(5)     CLS          2010VI07   PR C82 064311 (10)
29 Cu 70   101   33 s      3-       -3.3679(15)    CLS          2010VI07   PR C82 064311 (10)
29 Cu 70   242   6.6 s     1+       +1.7799(15)    CLS          2010VI07   PR C82 064311 (10)

29 Cu 71   0     19.4 s    3/2-     +2.2772(8)     LRIS/CLS     2009Fl03   PRL 103 142501 (09)

29 Cu 72   0     6.62 s    2-       -1.3487(10)    RILIS        2010Fl02   PR C82 041302(R) (10)

29 Cu 73   0     4.2 s     3/2-     +1.7446(8)     ISLS/CLS     2009FL03   PRL 103 142501 (2009)

29 Cu 74   0     1.63 s    2-       -1.0670(12)    CLS          2017De30   PR C96 041302(R)(2017)

29 Cu 75   0     1.22 s    5/2-     +1.0069(10)    CLS          2017De30   PR C96 041302(R)(2017)

29 Cu 76   0     641 ms    3-       -1.0907(15)    CLS          2017De30   PR C96 041302(R)(2017)

29 Cu 77   0     467 ms    5/2-     +1.5963(17)    CLS          2017De30   PR C96 041302(R)(2017)

29 Cu 78   0     335 ms    (6-)     +0.238(3)      CLS          2017De30   PR C96 041302(R)(2017)

30 Zn 63   0     38.4 m    3/2-     -0.28143(5)    OD           1969La05   PR 177 1606 (69)

30 Zn 65   0     244.1 d   5/2-     +0.7684(2)     OD           1964By01   PR 134 A47 (64)

"30 Zn 67   0     stable    5/2-     +0.87485(16)   OP/RD, N     1967Sp04   PL 24A 430 (67)"

30 Zn 69   0     56.4 m    1/2-     +0.557(2)      CLS          2017Wr01   PL B771 385 (2017)
30 Zn 69   439   13.7 h    9/2+     1.1605(7)      CLS          2017Wr01   PL B771 385 (2017)




18
30 Zn 71   0      2.45 m    1/2-       +0.551(1)     CLS          2017Wr01            PL B771 385 (2017)
30 Zn 71   158    3.96 h    9/2+       -1.048(1)     CLS          2017Wr01            PL B771 385 (2017)

30 Zn 73   0      23.5 s    1/2-       +0.5581(5)    CLS          2017Wr01            PL B771 385 (2017)
30 Zn 73   195    13.0 ms   5/2+       -0.8521(14)   CLS          2017Wr01            PL B771 385 (2017)

30 Zn 75   0      10.2 s    7/2+       -0.7881(9)    CLS          2017Wr01            PL B771 385 (2017)
30 Zn 75   127    (5 s)     1/2-       +0.5576(9)    CLS          2017Wr01            PL B771 385 (2017)

30 Zn 77   0      2.08 s    7/2+       -0.9067(1)    CLS          2017Wr01            PL B771 385 (2017)
30 Zn 77   772    1.05 s    1/2-       +0.562(2)     CLS          2017Wr01            PL B771 385 (2017)

30 Zn 79   0      0.75 s    9/2+       -1.1857(10)   CLS          2016Ya02            PRL 116 182502 (2016)
30 Zn 79   983    >200 ms   1/2+       -1.0173(12)   CLS          2016Ya02            PRL 116 182502 (2016)

31 Ga 63   0      32.4 s    3/2-       +0.1468(5)    CLS          2012Pr11            PR C86 034329 (2012)

31 Ga 65   0      15.2 m    3/2-       +1.773(3)     CLS          2017Fa09            PR C96 044324 (2017)

31 Ga 67   0      78.3 h    3/2-       +1.8494(5)    AB           1968Eh02            PR 176 25 (68)

31 Ga 68   0      67.7 m    1+         0.01174(7)    AB           1962Eh02            PR 127 529 (62)

31 Ga 69   0      stable    3/2-       +2.01502(6)   NMR          2015An17            JCP 143 074301 (2015)

31 Ga 70   0      21.1 m    1+         +0.571(2)     CLS          2012Pr11            PR C86 034329 (2012)

31 Ga 71   0      stable    3/2-       +2.56033(9)   NMR          Jack 27Al           JCP 143 074301 (2015)

31 Ga 72   0      14.1 h    3-         -0.13214(2)   AB           1962Eh02            PR 127 529 (62)

31 Ga 73   0      4.86 h    3/2-       +0.209(2)     CLS          2010Ch16            PRL 104 252502 (10)

31 Ga 74   0      8.12 m    3-or4-   0.00(8)       LRS          2011Ma45            PR C84 024303 (2011)

31 Ga 75   0      126 s     3/2-       +1.835(4)     CLS          2010Ch16            PRL 104 252502 (10)

31 Ga 76   0      32.6 s    (2+)       -0.945(4)     LRS          2011Ma45            PR C84 024303 (2011)

31 Ga 77   0      13.2 s    3/2-       +2.018(3)     CLS          2010Ch16            PRL 104 252502 (10)

31 Ga 78   0      5.1 s     (2+)       -1.214(5)     LRS          2011Ma45            PR C84 024303 (2011)

31 Ga 79   0      2.85 s    3/2-       +1.046(3)     CLS          2010Ch16            PRL 104 252502 (10)

31 Ga 80   0      1.9 s     6(-)       +0.036(4)     CLS          2010Ch50            PR C82 051302(R) (10)
31 Ga 80   22.4   1.3 s     3(-)       -1.425(5)     CLS          2010Ch50            PR C82 051302(R) (10)

31 Ga 81   0      1.22 s    5/2-       +1.746(5)     CLS          2010Ch16            PRL 104 252502 (10)

32 Ge 69   0      39.0 h    5/2-       0.735(7)      AB           1970Ol02            PR C2 228 (70)

"32 Ge 71   0      11.4 d    1/2-       +0.546(5)     AB, R        1966Ch02            PR 141 15 (66)/PR C1 750 (70)"

32 Ge 73   0      stable    9/2+       -0.87824(5)   NMR          2006Ma97            J Phys Chem A110 11462 (2006)

32 Ge 75   0      82.8 m    1/2-       +0.509(5)     AB           1970Ol02            PR C2 228 (70)

33 As 69   0      15.2 m    5/2-       +1.622(2)     NMR/ON       2005Go44            PR C72 064316 (05)

33 As 70   0      53 m      4+         +2.1104(5)    AB           1980Ho02            ZP A294 1 (80)

33 As 71   0      65.3 h    5/2-       +1.673(2)     NMR/ON       1976He25/1976He06   HFI 2 294 (76)/NP A259 378 (76)

33 As 72   0      26 h      2-         -2.1610(6)    AB           1980Ho02            ZP A294 1 (80)

33 As 74   0      17.8 d    2-         -1.596(3)     NMR/ON       1972Ka35            NP A193 410 (72)

33 As 75   0      stable    3/2-       +1.4383(3)    N            1953Ti01/1952Je05   PR 89 595 (53)/PR 85 478 (53)




19
33 As 76   0     26.2 h        2-       (-)0.9023(10)   NMR/ON(b)    1999Oh01            PR C59 669 (99)

33 As 77   0     38.8 h        3/2-     +1.2940(13)     NMR/ON(b)    1999Oh01            PR C59 669 (99)

34 Se 73   0     7.15 h        9/2+     0.892(13)       NMR/ON       2001St31            HFI 133 117 (2001)

34 Se 75   0     119.8 d       5/2+     0.683(10)       NMR/ON       2001St31            Hyp Int 133 117 (2001)

34 Se 77   0     stable        1/2-     +0.53356(5)     NMR          2013Ja18            Mol Phys 111 1355 (2013)

34 Se 79   0     3.3x105 y     7/2+     -1.018(15)      MA           1953Ha50            PR 92 1532 (53)

35 Br 72   0     79 s          1+       0.60(10)        NO/S         1992Ba68            HFI 75 433 (92)

